368,808182007,BAK LINZERTORTE 600G,4314131009532
371,1244031005,BAK BUTTERHEFETEIGH.HOLLY 150G,4314131005831
375,2231335001,BAK APFELKRAPFEN 154G,4314131006135
404,3489738006,BAK MITTAGSBROETCHEN,4314131001918
409,3730475003,BAK RUMKUGEL 75G,4314131008900
417,4268857004,BAK DINKEL-GANZKORNBROT 500G,4314131012921
435,2692649008,BAK LAUGENBROETCHEN TG 89G,#
436,2712564001,BAK UDO'S KAESEKUCHEN,4314131007606
451,2727010001,MBK LAUGENSTA.M.KUERBISKERN.,166403
453,3229513009,BAK KAISERBROETCHEN TGL.78G,#
471,3735188007,MBK FRIKADELLENBROETCHEN 215G,4314131070365
478,4203867004,BAK LAUGEN-SEPP 170G,4314131011573
497,2692656006,BAK SEELE HALBGEBACKEN 145G,#
517,3236755009,BAK APFEL GLUECK 450G,4314131007781
526,3571441003,MBK LAUGENBAGEL,4314131080753
528,3704675002,BAK RUSTIC-BAGUETTE 250G,4314131003134
530,3877884001,BAK MOHNBROETCHEN 60G,4314131001048
533,3931216007,MBK KARTOFFELBROET.HELL 110G,4314131072833
563,2731685008,BAK SACHERTORTE 173G,4314131008245
567,3232720001,MBK LAUGENBREZEL M.BUTTER 95G,4314131060038
579,4124585003,BAK MARMORKUCHEN VERPACKT 400G,4314131014895
623,3877461002,MBK STEINOFENBAGUETTE 280G,4314131076831
626,4247639001,BAK MARZIPANTROPFEN 15G,4314131015922
635,284232001,BAK ROSIN-BUTTER-HEFEZOPF 500G,4314131007101
675,3615075009,BAK KIRSCH-WINDBEUTEL 75G,4314131010033
676,3627944009,BAK METERK.MARM-SANDKUCH.2750G,4314131007590
678,3644289004,MBK SCHWARZW.NUSSKRANZ CA.1KG,25014921
688,4404464000,BAK K.LAUGST.SCHI.STREIF.125G,4314131011337
692,2231682004,BAK PFAUENAUGEN 150G,4314131008801
727,2723713001,BAK ERDBEERSCHNITTE,4314131006678
738,2727311001,MBK KAESESPECKBROETCHEN BV,166311
748,3489994004,BAK ERDBEERSAHNEROULADE 5ER,4314131007545
751,3803370006,BAK KAESELAUGENSTANGE 110G,4314131011269
762,8107547,MBK RUSTIC SALAMI,25006223
815,4088834007,BAK MAND.-SCHMANDSCHN.CA.160G,4314131018886
902,2285807008,MBK LAUGENBREZEL,4314131079092
907,2723764009,BAK KAESEKUCHEN 189G,4314131008108
991,2726968008,MBK LAUGENKNOTEN M.MOHN-SES.,166396
994,2731710003,BAK SCHOKOSAHNETORTE 118G,4314131008405
1007,3464314005,MBK LAUGENBROETCHEN SALAMI100G,4314131071478
